epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37134,0,37.8494,0,0,0,0,0,0,30.821,0,0,0,0
2,6.87867,0,37.9629,0,0,0,0,0,0,30.8417,0,1.9802e-05,1.9802e-05,1.9802e-05
3,10.5916,0,37.7796,0,0,0,0,0,0,30.865,0,3.9208e-05,3.9208e-05,3.9208e-05
4,13.6375,0,37.4064,0,0,0,0,0,0,30.8855,0,5.8218e-05,5.8218e-05,5.8218e-05
5,17.5421,0,37.2814,0,0,0,0,0,0,30.918,0,7.6832e-05,7.6832e-05,7.6832e-05
6,20.1172,0,36.8948,0,0,0,0,0,0,30.9519,0,9.505e-05,9.505e-05,9.505e-05
7,23.2282,0,36.6084,0,0,0,0,0,0,30.9806,0,0.000112872,0.000112872,0.000112872
8,25.4297,0,36.4061,0,0,0,0,0,0,30.9976,0,0.000130298,0.000130298,0.000130298
9,27.8633,0,36.1131,0,0,0,0,0,0,31.0025,0,0.000147328,0.000147328,0.000147328
10,30.0988,0,35.8077,0,0,0,0,0,0,31.0118,0,0.000163962,0.000163962,0.000163962
11,32.9274,0,35.3598,0,0,0,0,0,0,31.0262,0,0.0001802,0.0001802,0.0001802
12,35.5565,0,34.8509,0,0,0,0,0,0,31.0511,0,0.000196042,0.000196042,0.000196042
13,38.2789,0,34.3522,0,0,0,0,0,0,31.0796,0,0.000211488,0.000211488,0.000211488
14,41.4398,0,33.8316,0,0,0,0,0,0,31.1037,0,0.000226538,0.000226538,0.000226538
15,44.735,0,33.2705,0,0,0,0,0,0,31.1155,0,0.000241192,0.000241192,0.000241192
16,47.8148,0,32.7765,0,0,0,0,0,0,31.0878,0,0.00025545,0.00025545,0.00025545
17,51.1342,0,32.0619,0,0,0,0,0,0,31.0079,0,0.000269312,0.000269312,0.000269312
18,55.1422,0,31.6347,0,0,0,0,0,0,31.0079,0,0.000282778,0.000282778,0.000282778
19,59.1939,0,31.3913,0,0,0,0,0,0,30.8845,0,0.000295848,0.000295848,0.000295848
20,62.1586,0,30.9691,0,0,0,0,0,0,30.8845,0,0.000308522,0.000308522,0.000308522
21,65.5594,0,30.9214,0,0,0,0,0,0,30.7692,0,0.0003208,0.0003208,0.0003208
22,68.1568,0,30.3304,0,0,0,0,0,0,30.7692,0,0.000332682,0.000332682,0.000332682
23,70.9412,0,30.2233,0,0,0,0,0,0,30.6921,0,0.000344168,0.000344168,0.000344168
24,73.6536,0,29.53,0,0,0,0,0,0,30.6921,0,0.000355258,0.000355258,0.000355258
25,76.3563,0,29.5758,0,0,0,0,0,0,30.614,0,0.000365952,0.000365952,0.000365952
26,78.9051,0,28.9119,0,0,0,0,0,0,30.614,0,0.00037625,0.00037625,0.00037625
27,81.6107,0,28.9514,0,0,0,0,0,0,30.5181,0,0.000386152,0.000386152,0.000386152
28,84.4313,0,28.6416,0,0,0,0,0,0,30.5181,0,0.000395658,0.000395658,0.000395658
29,87.1088,0,28.4935,0,0,0,0,0,0,30.3544,0,0.000404768,0.000404768,0.000404768
30,89.6371,0,27.9372,0,0,0,0,0,0,30.3544,0,0.000413482,0.000413482,0.000413482
31,92.973,0,27.7213,0,0,0,0,0,0,30.0363,0,0.0004218,0.0004218,0.0004218
