epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33176,1.26895,2.85039,1.92711,0.00333,1,0.3431,0.23459,0.45148,2.94657,1.54995,2e-05,2e-05,2e-05
2,11.9541,0.99826,2.56264,1.46529,0.00333,1,0.69769,0.48197,0.34849,2.93457,1.43343,5.8812e-05,5.8812e-05,5.8812e-05
3,18.04,1.06399,2.81125,1.61957,0.00333,1,0.97833,0.72836,0.31786,2.86934,1.29475,9.604e-05,9.604e-05,9.604e-05
4,22.5265,0.73884,2.42202,1.14792,0.00333,1,0.98591,0.73933,0.21798,2.86172,1.19685,0.000131684,0.000131684,0.000131684
5,28.4704,0.59492,2.15828,1.0661,0.00333,1,0.995,0.65846,0.1919,2.84519,1.10227,0.000165744,0.000165744,0.000165744
6,33.5279,0.54095,2.14481,1.12298,0.00333,1,0.995,0.67044,0.20202,2.814,1.0308,0.00019822,0.00019822,0.00019822
7,39.559,0.39531,1.78275,1.01199,0.00333,1,0.995,0.64315,0.20611,2.77407,0.97922,0.000229112,0.000229112,0.000229112
8,45.415,0.44476,1.68767,1.03835,0.00333,1,0.995,0.71731,0.24374,2.75275,0.97362,0.00025842,0.00025842,0.00025842
9,51.9952,0.40783,1.45561,1.03002,0.00333,1,0.995,0.75045,0.24169,2.66656,0.98017,0.000286144,0.000286144,0.000286144
10,58.1153,0.32805,1.14041,0.9372,0.00333,1,0.995,0.995,0.29495,2.54304,0.94509,0.000312284,0.000312284,0.000312284
11,63.4898,0.41887,1.31988,0.88748,0.00333,1,0.995,0.995,0.23917,2.48078,0.94058,0.00033684,0.00033684,0.00033684
12,68.9308,0.35918,1.07134,1.02402,0.00333,1,0.995,0.995,0.23917,2.48078,0.94058,0.000359812,0.000359812,0.000359812
13,74.47,0.30278,0.94553,0.94606,0.00333,1,0.995,0.995,0.23922,2.55059,0.93104,0.0003812,0.0003812,0.0003812
14,79.849,0.248,0.82521,0.90059,0.00861,1,0.995,0.91134,0.30543,2.45456,0.97049,0.000401004,0.000401004,0.000401004
15,85.9084,0.23992,0.78522,0.92613,0.00861,1,0.995,0.91134,0.30543,2.45456,0.97049,0.000419224,0.000419224,0.000419224
16,91.1497,0.30798,0.72443,0.91224,0.97431,1,0.995,0.94504,0.41362,2.06361,1.06398,0.00043586,0.00043586,0.00043586
17,97.0658,0.39587,0.99831,1.03981,0.98878,1,0.995,0.94504,0.41728,1.54982,1.10307,0.000450912,0.000450912,0.000450912
18,102.851,0.30675,0.85272,0.92995,0.98878,1,0.995,0.94504,0.41728,1.54982,1.10307,0.00046438,0.00046438,0.00046438
19,107.666,0.32362,0.89966,0.91242,0.99341,1,0.995,0.8955,0.497,1.21002,1.13307,0.000476264,0.000476264,0.000476264
20,113.285,0.45526,1.02692,1.01027,0.99341,1,0.995,0.8955,0.497,1.21002,1.13307,0.000486564,0.000486564,0.000486564
21,119.334,0.26048,0.70619,0.94594,0.99388,1,0.995,0.8955,0.51816,1.19806,1.15954,0.00049528,0.00049528,0.00049528
22,125.005,0.28569,0.89153,0.91668,0.99388,1,0.995,0.8955,0.51816,1.19806,1.15954,0.000502412,0.000502412,0.000502412
23,132.306,0.38937,0.84158,0.9052,0.98945,1,0.995,0.90528,0.44137,1.46857,1.06385,0.00050796,0.00050796,0.00050796
24,137.623,0.36656,0.76119,1.00055,0.98945,1,0.995,0.90528,0.44137,1.46857,1.06385,0.000511924,0.000511924,0.000511924
25,142.997,0.32217,0.80992,0.89165,0.99117,1,0.995,0.8955,0.42461,1.6943,1.04539,0.000514304,0.000514304,0.000514304
